space_id;space_name;space_longname;spatialzone_name;spatialzone_longname;spatialzone_type;storey_id;storey_name;building_id;building_name;parent_id;parent_name;parent_type;parent_longname
5c4cee52-6518-4ed4-98cf-5fdcbc54494e;SHAFT:2000732;SHAFT;Common;Common;Common Parts;e3e052f9-0156-11d5-9301-0000863f269a;Level_01;05587af9-f099-4553-a05b-106372672cd3;;e3e052f9-0156-11d5-9301-0000863f269a;Level_01;IfcBuildingStorey;Level_01
5ca07fc8-306e-458d-9c07-aaee5e9116da;STAIRCASE:1702266;STAIRCASE;Staircase;Staircase;Common Parts;be768381-8d69-4d59-bdb6-bc2a005db3ad;Basement;05587af9-f099-4553-a05b-106372672cd3;;be768381-8d69-4d59-bdb6-bc2a005db3ad;Basement;IfcBuildingStorey;Basement
cf8a9188-d597-45b8-837c-7668edc6a1d0;STAIRCASE:1704856;STAIRCASE;Staircase;Staircase;Common Parts;e3e052f9-0156-11d5-9301-0000863f269a;Level_01;05587af9-f099-4553-a05b-106372672cd3;;e3e052f9-0156-11d5-9301-0000863f269a;Level_01;IfcBuildingStorey;Level_01
b8ecb908-5f21-4971-9efe-e7c68554079b;STAIRCASE:1717235;STAIRCASE;Staircase;Staircase;Common Parts;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;05587af9-f099-4553-a05b-106372672cd3;;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;IfcBuildingStorey;Level_02
c54f3399-552a-417f-a507-cf8cda4a2f64;STAIRCASE:1721370;STAIRCASE;Staircase;Staircase;Common Parts;fa6d430e-becf-4766-8734-2958fea68219;Level_03;05587af9-f099-4553-a05b-106372672cd3;;fa6d430e-becf-4766-8734-2958fea68219;Level_03;IfcBuildingStorey;Level_03
65d681d3-06bc-4853-be8c-94f762e8ecd7;STAIRCASE:1721459;STAIRCASE;Staircase;Staircase;Common Parts;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;05587af9-f099-4553-a05b-106372672cd3;;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;IfcBuildingStorey;Level_04
01ff6bcb-9596-4780-bf9a-bc1e938666ab;STORE COMMON:1438929;STORE COMMON;Store Common;Store Common;Storage;e3e052f9-0156-11d5-9301-0000863f269a;Level_01;05587af9-f099-4553-a05b-106372672cd3;;e3e052f9-0156-11d5-9301-0000863f269a;Level_01;IfcBuildingStorey;Level_01
60dd3868-a488-4c3e-9b1a-3b4b04818e85;STORE RESIDENTS:1409016;STORE RESIDENTS;Store Residents;Store Residents;Storage;be768381-8d69-4d59-bdb6-bc2a005db3ad;Basement;05587af9-f099-4553-a05b-106372672cd3;;be768381-8d69-4d59-bdb6-bc2a005db3ad;Basement;IfcBuildingStorey;Basement
da3e7aea-b630-46a8-8f61-d0c638cb0915;TOILET / ACCESSIBLE:1402645;TOILET / ACCESSIBLE;Communal Space 01;Communal Space 01;Private Parts - Amenities;e3e052f9-0156-11d5-9301-0000863f269a;Level_01;05587af9-f099-4553-a05b-106372672cd3;;e3e052f9-0156-11d5-9301-0000863f269a;Level_01;IfcBuildingStorey;Level_01
cf6c0021-77a5-4b2a-9008-16a3d2cad407;TOILET / ACCESSIBLE:1435376;TOILET / ACCESSIBLE;Fitness Center 00;Fitness Center 00;Private Parts - Amenities;be768381-8d69-4d59-bdb6-bc2a005db3ad;Basement;05587af9-f099-4553-a05b-106372672cd3;;be768381-8d69-4d59-bdb6-bc2a005db3ad;Basement;IfcBuildingStorey;Basement
cf6c0021-77a5-4b2a-9008-16a3d2cad120;TOILET:1434583;TOILET;Business Space 00;Business Space 00;Private Parts - Amenities;be768381-8d69-4d59-bdb6-bc2a005db3ad;Basement;05587af9-f099-4553-a05b-106372672cd3;;be768381-8d69-4d59-bdb6-bc2a005db3ad;Basement;IfcBuildingStorey;Basement
b8ecb908-5f21-4971-9efe-e7c6855402fa;TOILET:1717906;TOILET;Apartment 02.HSTO.AS2;Apartment 02.HSTO.AS2;Private Parts - Apartment;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;05587af9-f099-4553-a05b-106372672cd3;;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;IfcBuildingStorey;Level_02
328f0778-34bd-44b8-8007-d579f58d69ba;TOILET:1721305;TOILET;Apartment 03.HSTO.AS4;Apartment 03.HSTO.AS4;Private Parts - Apartment;fa6d430e-becf-4766-8734-2958fea68219;Level_03;05587af9-f099-4553-a05b-106372672cd3;;fa6d430e-becf-4766-8734-2958fea68219;Level_03;IfcBuildingStorey;Level_03
65d681d3-06bc-4853-be8c-94f762e8ecf6;TOILET:1721426;TOILET;Apartment 04.HSTO.AS6;Apartment 04.HSTO.AS6;Private Parts - Apartment;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;05587af9-f099-4553-a05b-106372672cd3;;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;IfcBuildingStorey;Level_04
9648f00b-cbc2-4e86-b81f-2ae292a7b49f;VENT:1962683;VENT;Communal Space 01;Communal Space 01;Private Parts - Amenities;e3e052f9-0156-11d5-9301-0000863f269a;Level_01;05587af9-f099-4553-a05b-106372672cd3;;e3e052f9-0156-11d5-9301-0000863f269a;Level_01;IfcBuildingStorey;Level_01
e779a225-68fd-429f-b944-faaf70e06cca;VESTIBULE:1398339;VESTIBULE;Communal Space 01;Communal Space 01;Private Parts - Amenities;e3e052f9-0156-11d5-9301-0000863f269a;Level_01;05587af9-f099-4553-a05b-106372672cd3;;e3e052f9-0156-11d5-9301-0000863f269a;Level_01;IfcBuildingStorey;Level_01
b8ecb908-5f21-4971-9efe-e7c6855402e7;VESTIBULE:1717903;VESTIBULE;Apartment 02.HSTO.AS2;Apartment 02.HSTO.AS2;Private Parts - Apartment;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;05587af9-f099-4553-a05b-106372672cd3;;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;IfcBuildingStorey;Level_02
328f0778-34bd-44b8-8007-d579f58d69ae;VESTIBULE:1721293;VESTIBULE;Apartment 03.HSTO.AS4;Apartment 03.HSTO.AS4;Private Parts - Apartment;fa6d430e-becf-4766-8734-2958fea68219;Level_03;05587af9-f099-4553-a05b-106372672cd3;;fa6d430e-becf-4766-8734-2958fea68219;Level_03;IfcBuildingStorey;Level_03
